venue_name,venue_type,lat,long
Madison Square Garden,Sports/Concerts,40.7505,-73.9934
Barclays Center,Sports/Concerts,40.6826,-73.9754
Radio City Music Hall,Concerts,40.7599,-73.9799
Yankee Stadium,Sports,40.8296,-73.9262
Citi Field,Sports,40.7571,-73.8458
Javits Center,Business/Conferences,40.7574,-74.0027
Brooklyn Museum,Arts/Weddings,40.6712,-73.9636
The Plaza Hotel,Weddings/Events,40.7644,-73.9744
The Bowery Hotel,Weddings/Events,40.7255,-73.9911
The Standard High Line,Weddings/Events,40.7422,-74.0079
Central Park Boathouse,Weddings,40.7743,-73.9673
Metropolitan Museum of Art,Arts/Events,40.7794,-73.9632
Lincoln Center,Concerts/Arts,40.7725,-73.9835
Beacon Theatre,Concerts,40.7799,-73.9814
Times Square,Tourism,40.7580,-73.9855
Broadway Theater District,Theater,40.7590,-73.9845
NYU Kimmel Center,Weddings/Events,40.7295,-73.9965
Weylin (Brooklyn),Weddings,40.7150,-73.9636
The Foundry (LIC),Weddings,40.7449,-73.9497
United Nations HQ,Business,40.7489,-73.9680
